https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume BAT
1658707200000,2022-07-25 00:00:00,BAT/USD,0.38777,0.38833,0.35943,0.35943,9866.877472884613,27451.4577884
1658620800000,2022-07-24 00:00:00,BAT/USD,0.38769,0.39777,0.38544,0.38771,3681.046970398963,9494.33073792
1658534400000,2022-07-23 00:00:00,BAT/USD,0.38799,0.39777,0.37443,0.38807,5633.269110643205,14516.11593435
1658448000000,2022-07-22 00:00:00,BAT/USD,0.40858,0.41611,0.3815,0.38735,11500.472427809626,29690.1314775
1658361600000,2022-07-21 00:00:00,BAT/USD,0.39316,0.40369,0.37886,0.40169,28793.486668373444,71680.86501624
1658275200000,2022-07-20 00:00:00,BAT/USD,0.43001,0.44198,0.39101,0.3924,63834.345713992894,162676.72200304
1658188800000,2022-07-19 00:00:00,BAT/USD,0.41209,0.43792,0.41095,0.42977,21625.356089965804,50318.4403052
1658102400000,2022-07-18 00:00:00,BAT/USD,0.38254,0.42,0.38254,0.41269,22926.850528440093,55554.65489457
1658016000000,2022-07-17 00:00:00,BAT/USD,0.3987,0.4074,0.38317,0.38363,9456.105207676963,24649.02434032
1657929600000,2022-07-16 00:00:00,BAT/USD,0.39236,0.4035,0.38251,0.39951,18239.636963226407,45655.01980733
1657843200000,2022-07-15 00:00:00,BAT/USD,0.38809,0.40059,0.38183,0.38893,11876.602426628626,30536.60665577
1657756800000,2022-07-14 00:00:00,BAT/USD,0.3861,0.38845,0.35967,0.38845,9647.442225092664,24835.73748254
1657670400000,2022-07-13 00:00:00,BAT/USD,0.36556,0.38595,0.34703,0.38543,19446.222609801775,50453.31865657
1657584000000,2022-07-12 00:00:00,BAT/USD,0.37284,0.39049,0.3622,0.36696,40647.92074370412,110769.3501845
1657497600000,2022-07-11 00:00:00,BAT/USD,0.4077,0.4077,0.37215,0.37433,32589.699393085106,87061.41477596
1657411200000,2022-07-10 00:00:00,BAT/USD,0.43316,0.43388,0.4033,0.4082,18921.076149063632,46352.46484337
1657324800000,2022-07-09 00:00:00,BAT/USD,0.43283,0.44142,0.42393,0.43227,41619.752674164345,96281.84392663
1657238400000,2022-07-08 00:00:00,BAT/USD,0.45403,0.4573,0.42729,0.43298,38569.83334016541,89079.94212242
1657152000000,2022-07-07 00:00:00,BAT/USD,0.44309,0.459,0.44232,0.4522,111166.52746816393,245834.86835065
1657065600000,2022-07-06 00:00:00,BAT/USD,0.44021,0.445,0.42556,0.44118,23379.96042112677,52994.15300133
1656979200000,2022-07-05 00:00:00,BAT/USD,0.40632,0.455,0.40491,0.4406,75280.29588474262,170858.59256637
1656892800000,2022-07-04 00:00:00,BAT/USD,0.39962,0.40795,0.385,0.405,26258.8728284784,64836.72303328
1656806400000,2022-07-03 00:00:00,BAT/USD,0.41156,0.41156,0.3856,0.40118,25971.955400024817,64738.90871934
1656720000000,2022-07-02 00:00:00,BAT/USD,0.40319,0.42013,0.3961,0.41242,29581.467937285706,71726.56015054
1656633600000,2022-07-01 00:00:00,BAT/USD,0.39247,0.41855,0.38064,0.40357,47007.53614122509,116479.2629314
1656547200000,2022-06-30 00:00:00,BAT/USD,0.3841,0.39379,0.35305,0.39176,31443.090648953643,80261.10539349
1656460800000,2022-06-29 00:00:00,BAT/USD,0.37141,0.39026,0.36,0.38453,19367.410561070803,50366.44881042
1656374400000,2022-06-28 00:00:00,BAT/USD,0.38853,0.405,0.36772,0.3711,49717.24098614315,133972.62459214
1656288000000,2022-06-27 00:00:00,BAT/USD,0.39436,0.41212,0.37989,0.38909,12017.544828424447,30886.2855083
1656201600000,2022-06-26 00:00:00,BAT/USD,0.43069,0.43453,0.392,0.39414,20254.681854050552,51389.56171424
1656115200000,2022-06-25 00:00:00,BAT/USD,0.43471,0.43881,0.40422,0.43171,16905.494705683574,39159.37714133
1656028800000,2022-06-24 00:00:00,BAT/USD,0.40418,0.44213,0.40418,0.43465,33026.13256440933,75983.27979848
1655942400000,2022-06-23 00:00:00,BAT/USD,0.36428,0.40899,0.36137,0.40351,18890.5630339619,46815.60068886
1655856000000,2022-06-22 00:00:00,BAT/USD,0.37244,0.39366,0.35306,0.36357,39062.53464620668,107441.57836512
1655769600000,2022-06-21 00:00:00,BAT/USD,0.3607,0.40422,0.35842,0.37138,55121.194137129,148422.62409696
1655683200000,2022-06-20 00:00:00,BAT/USD,0.34064,0.38749,0.33586,0.35984,37181.968616829836,103329.17023352
1655596800000,2022-06-19 00:00:00,BAT/USD,0.31168,0.34588,0.29582,0.33971,25305.110713301947,74490.33208708
1655510400000,2022-06-18 00:00:00,BAT/USD,0.33659,0.33892,0.29173,0.3115,15644.394712941748,50222.7759645
1655424000000,2022-06-17 00:00:00,BAT/USD,0.32127,0.3467,0.31085,0.33782,14244.618088309231,42166.29592182
1655337600000,2022-06-16 00:00:00,BAT/USD,0.36199,0.36665,0.31,0.32239,18997.633425141692,58927.48976439
1655251200000,2022-06-15 00:00:00,BAT/USD,0.29182,0.3632,0.27442,0.3632,61909.137478237,170454.67367356
1655164800000,2022-06-14 00:00:00,BAT/USD,0.2855,0.29271,0.25934,0.29234,10725.985838283039,36690.106856
1655078400000,2022-06-13 00:00:00,BAT/USD,0.30827,0.30984,0.265,0.28689,115677.55076171733,403212.20942423
1654992000000,2022-06-12 00:00:00,BAT/USD,0.33428,0.33808,0.30753,0.30753,7917.8762082926305,25746.67905015
1654905600000,2022-06-11 00:00:00,BAT/USD,0.36367,0.37109,0.33055,0.33489,15015.15990304877,44836.09514482
1654819200000,2022-06-10 00:00:00,BAT/USD,0.39376,0.39862,0.36043,0.36333,7013.185918197762,19302.52365122
1654732800000,2022-06-09 00:00:00,BAT/USD,0.39397,0.41359,0.38866,0.39334,11597.92457930268,29485.74917197
1654646400000,2022-06-08 00:00:00,BAT/USD,0.39392,0.40807,0.38653,0.39578,7438.153194738143,18793.65605826
1654560000000,2022-06-07 00:00:00,BAT/USD,0.40259,0.40259,0.3731,0.39302,6743.103079134254,17157.14996472
1654473600000,2022-06-06 00:00:00,BAT/USD,0.38448,0.42206,0.38304,0.40314,20819.833247647555,51644.17633489
1654387200000,2022-06-05 00:00:00,BAT/USD,0.382,0.3889,0.37302,0.38367,3524.2651198522026,9185.66768278
1654300800000,2022-06-04 00:00:00,BAT/USD,0.38014,0.38406,0.36915,0.38109,7553.309660533068,19820.27778355
1654214400000,2022-06-03 00:00:00,BAT/USD,0.40133,0.40356,0.37078,0.37935,8579.404951979468,22616.06683005
1654128000000,2022-06-02 00:00:00,BAT/USD,0.38286,0.405,0.37885,0.39977,13882.81887443544,34727.01521984
1654041600000,2022-06-01 00:00:00,BAT/USD,0.40277,0.42256,0.37376,0.38257,39372.75464266701,102916.47186833
1653955200000,2022-05-31 00:00:00,BAT/USD,0.402,0.412,0.38923,0.40262,20610.837268629384,51191.78696694
1653868800000,2022-05-30 00:00:00,BAT/USD,0.37225,0.4035,0.36677,0.40281,23507.040407402485,58357.63860729
1653782400000,2022-05-29 00:00:00,BAT/USD,0.36859,0.3767,0.35657,0.37292,8598.175183564057,23056.35306115
1653696000000,2022-05-28 00:00:00,BAT/USD,0.35998,0.37329,0.3553,0.36835,6746.793692079381,18316.25815686
1653609600000,2022-05-27 00:00:00,BAT/USD,0.37231,0.38092,0.35,0.35861,26011.52484289293,72534.2986612
1653523200000,2022-05-26 00:00:00,BAT/USD,0.39001,0.4039,0.35755,0.37188,87947.06204625343,236493.1215614
1653436800000,2022-05-25 00:00:00,BAT/USD,0.39445,0.4,0.3777,0.38957,11003.109484692886,28244.2423305
1653350400000,2022-05-24 00:00:00,BAT/USD,0.38535,0.39815,0.37131,0.39479,34104.86999811189,86387.37049599
1653264000000,2022-05-23 00:00:00,BAT/USD,0.40631,0.42451,0.37947,0.38421,21602.983992749334,56227.02166198
1653177600000,2022-05-22 00:00:00,BAT/USD,0.38887,0.41,0.38308,0.40858,32938.09840118715,80616.03211412
1653091200000,2022-05-21 00:00:00,BAT/USD,0.38199,0.39366,0.37205,0.38837,3705.2756869401505,9540.58162819
1653004800000,2022-05-20 00:00:00,BAT/USD,0.39076,0.4089,0.37,0.38047,26482.47086895703,69604.62288474
1652918400000,2022-05-19 00:00:00,BAT/USD,0.37375,0.39803,0.35998,0.39048,460639.90727535944,1179676.05837779
1652832000000,2022-05-18 00:00:00,BAT/USD,0.41404,0.42,0.3656,0.37195,282313.16930737195,759008.38636207
1652745600000,2022-05-17 00:00:00,BAT/USD,0.39321,0.42109,0.38752,0.4142,80657.61508832281,194731.08423062
1652659200000,2022-05-16 00:00:00,BAT/USD,0.435,0.435,0.38406,0.39199,35815.666018435135,91368.82578238
1652572800000,2022-05-15 00:00:00,BAT/USD,0.4194,0.43375,0.39667,0.43338,44851.169575265194,103491.55377559
1652486400000,2022-05-14 00:00:00,BAT/USD,0.38457,0.42109,0.36877,0.41929,67632.77939301306,161303.10618668
1652400000000,2022-05-13 00:00:00,BAT/USD,0.35779,0.42743,0.35351,0.38449,121839.29623217418,316885.47486846
1652313600000,2022-05-12 00:00:00,BAT/USD,0.3775,0.39252,0.30478,0.35871,818112.205342591,2280706.43512194
1652227200000,2022-05-11 00:00:00,BAT/USD,0.46706,0.48466,0.34438,0.37485,848606.9487359351,2263857.40625833
1652140800000,2022-05-10 00:00:00,BAT/USD,0.44522,0.50954,0.4297,0.46756,371887.1151309287,795378.37952547
1652054400000,2022-05-09 00:00:00,BAT/USD,0.54631,0.55607,0.44,0.44097,204704.5921954853,464214.32794858
1651968000000,2022-05-08 00:00:00,BAT/USD,0.55685,0.56031,0.53343,0.54663,35762.30453728926,65423.23790734
1651881600000,2022-05-07 00:00:00,BAT/USD,0.57929,0.58495,0.53858,0.55474,97149.65398000713,175126.46281142
1651795200000,2022-05-06 00:00:00,BAT/USD,0.58622,0.58877,0.55624,0.57906,176008.81219041953,303956.08778092
1651708800000,2022-05-05 00:00:00,BAT/USD,0.65737,0.66004,0.56909,0.58716,93526.70423584867,159286.57305649
1651622400000,2022-05-04 00:00:00,BAT/USD,0.57923,0.65881,0.57662,0.65385,93037.93084091877,142292.46897747
1651536000000,2022-05-03 00:00:00,BAT/USD,0.58567,0.60726,0.56657,0.57985,14770.370854250601,25472.74442399
1651449600000,2022-05-02 00:00:00,BAT/USD,0.60332,0.61327,0.5673,0.5863,58752.999499733545,100209.78935653
1651363200000,2022-05-01 00:00:00,BAT/USD,0.57021,0.61113,0.5653,0.604,42600.433778525476,70530.51950087
1651276800000,2022-04-30 00:00:00,BAT/USD,0.62891,0.66,0.55201,0.56924,132678.9539363774,233080.86911738
1651190400000,2022-04-29 00:00:00,BAT/USD,0.65965,0.66227,0.61398,0.62967,28097.044246604444,44621.85628441
1651104000000,2022-04-28 00:00:00,BAT/USD,0.66904,0.67813,0.64854,0.65873,39777.01133716806,60384.39320688
1651017600000,2022-04-27 00:00:00,BAT/USD,0.65658,0.67845,0.64837,0.67013,13388.642893037368,19979.17253822
1650931200000,2022-04-26 00:00:00,BAT/USD,0.72482,0.72737,0.64978,0.6571,43326.105263050646,65935.32987833
1650844800000,2022-04-25 00:00:00,BAT/USD,0.72346,0.72496,0.67737,0.72376,47320.6961973494,65381.75112931
1650758400000,2022-04-24 00:00:00,BAT/USD,0.7368,0.74881,0.71276,0.72268,21799.698459973133,30165.07784908
1650672000000,2022-04-23 00:00:00,BAT/USD,0.73859,0.75088,0.72031,0.73416,13467.792528527316,18344.49238385
1650585600000,2022-04-22 00:00:00,BAT/USD,0.75025,0.7847,0.73297,0.73912,42520.2697023617,57528.23587829
1650499200000,2022-04-21 00:00:00,BAT/USD,0.76075,0.81993,0.74236,0.75156,90135.21300748273,119930.82788797
1650412800000,2022-04-20 00:00:00,BAT/USD,0.77528,0.77615,0.73737,0.76201,35134.29998136721,46107.4001409
1650326400000,2022-04-19 00:00:00,BAT/USD,0.76087,0.77586,0.74492,0.77586,22731.043669256385,29297.8677458
1650240000000,2022-04-18 00:00:00,BAT/USD,0.7215,0.76869,0.69934,0.76337,71479.99670062012,93637.41920775
1650153600000,2022-04-17 00:00:00,BAT/USD,0.77037,0.77739,0.72,0.7232,18834.881369158975,26043.80720293
1650067200000,2022-04-16 00:00:00,BAT/USD,0.72528,0.78294,0.72412,0.7727,145032.4237964064,187695.64358277
1649980800000,2022-04-15 00:00:00,BAT/USD,0.72046,0.73795,0.71106,0.72489,61159.402297652094,84370.59732877
1649894400000,2022-04-14 00:00:00,BAT/USD,0.74235,0.76,0.70285,0.72019,17819.525796505062,24742.81203086
1649808000000,2022-04-13 00:00:00,BAT/USD,0.71944,0.74375,0.70725,0.74344,19593.589945120802,26355.30768471
1649721600000,2022-04-12 00:00:00,BAT/USD,0.68894,0.7287,0.68118,0.72032,25372.514711650518,35223.94867788
1649635200000,2022-04-11 00:00:00,BAT/USD,0.74059,0.74839,0.66737,0.68737,68691.66758454446,99934.04947051
1649548800000,2022-04-10 00:00:00,BAT/USD,0.76971,0.77738,0.74059,0.74059,31556.898345552592,42610.48399999
1649462400000,2022-04-09 00:00:00,BAT/USD,0.73925,0.77295,0.73911,0.77053,30808.71397973238,39983.79554298
1649376000000,2022-04-08 00:00:00,BAT/USD,0.78773,0.79954,0.7336,0.73934,41345.65514814503,55922.38367753
1649289600000,2022-04-07 00:00:00,BAT/USD,0.75057,0.79573,0.74575,0.78886,33791.32854980168,42835.64707274
1649203200000,2022-04-06 00:00:00,BAT/USD,0.83992,0.84094,0.75131,0.75457,88121.31445079339,116783.48523105
1649116800000,2022-04-05 00:00:00,BAT/USD,0.89208,0.8986,0.83949,0.84168,27815.90698184044,33048.07882074
1649030400000,2022-04-04 00:00:00,BAT/USD,0.94909,0.94909,0.85522,0.89085,89259.09239071653,100195.42278803
1648944000000,2022-04-03 00:00:00,BAT/USD,0.92234,0.98102,0.91146,0.94744,119514.20025533535,126144.34714107
1648857600000,2022-04-02 00:00:00,BAT/USD,0.89419,0.9576,0.88469,0.91947,90966.45800395755,98933.57913141
1648771200000,2022-04-01 00:00:00,BAT/USD,0.86795,0.89794,0.82574,0.89492,61770.786080286794,69023.80780437
1648684800000,2022-03-31 00:00:00,BAT/USD,0.89729,0.9362,0.85409,0.86649,162901.88847111847,188002.04095964
1648598400000,2022-03-30 00:00:00,BAT/USD,0.89021,0.91368,0.85737,0.89879,28337.63932558364,31528.65444162
1648512000000,2022-03-29 00:00:00,BAT/USD,0.87508,0.92106,0.8656,0.89422,49581.135776753625,55446.238930859996
1648425600000,2022-03-28 00:00:00,BAT/USD,0.90232,0.92758,0.8618,0.8714,120731.74951905565,138549.17319148
1648339200000,2022-03-27 00:00:00,BAT/USD,0.85755,0.90737,0.85217,0.90289,85248.10119034586,94416.92918334
1648252800000,2022-03-26 00:00:00,BAT/USD,0.83483,0.85875,0.82765,0.85558,11271.100335553412,13173.63698959
1648166400000,2022-03-25 00:00:00,BAT/USD,0.85726,0.88,0.82455,0.83328,132769.6128173372,159333.7327397
1648080000000,2022-03-24 00:00:00,BAT/USD,0.83486,0.8702,0.81904,0.85901,94001.37992464472,109429.90177605
1647993600000,2022-03-23 00:00:00,BAT/USD,0.81202,0.83737,0.80118,0.83353,28816.849750436526,34572.0606942
1647907200000,2022-03-22 00:00:00,BAT/USD,0.81589,0.82978,0.80327,0.81181,49917.75280606129,61489.45295828
1647820800000,2022-03-21 00:00:00,BAT/USD,0.81858,0.83084,0.79433,0.81629,18419.504612974586,22564.9029303
1647734400000,2022-03-20 00:00:00,BAT/USD,0.84082,0.85084,0.8059,0.81978,96375.84432460254,117563.05877748
1647648000000,2022-03-19 00:00:00,BAT/USD,0.8401,0.87941,0.83084,0.8414,47458.10548658793,56403.73839623
1647561600000,2022-03-18 00:00:00,BAT/USD,0.84985,0.85719,0.8071,0.8418,88656.99763788377,105318.36260143
1647475200000,2022-03-17 00:00:00,BAT/USD,0.82503,0.8851,0.81795,0.84945,132338.1968773171,155792.80343436
1647388800000,2022-03-16 00:00:00,BAT/USD,0.78685,0.84859,0.77932,0.82312,124639.90570719607,151423.736159
1647302400000,2022-03-15 00:00:00,BAT/USD,0.72124,0.8075,0.70114,0.78483,147695.65197979403,188188.08146961
1647216000000,2022-03-14 00:00:00,BAT/USD,0.67353,0.725,0.66341,0.72103,40595.636055693205,56302.28430952
1647129600000,2022-03-13 00:00:00,BAT/USD,0.66232,0.73756,0.66119,0.67498,78100.26278248311,115707.52138209
1647043200000,2022-03-12 00:00:00,BAT/USD,0.65283,0.70688,0.65277,0.66303,30571.189813672896,46108.30552716
1646956800000,2022-03-11 00:00:00,BAT/USD,0.68828,0.68828,0.64411,0.65336,17804.629505948193,27250.8716572
1646870400000,2022-03-10 00:00:00,BAT/USD,0.68559,0.72185,0.63786,0.68616,167868.0338040689,244648.52775456
1646784000000,2022-03-09 00:00:00,BAT/USD,0.66021,0.69172,0.65229,0.6864,101384.93832311645,147705.32972482
1646697600000,2022-03-08 00:00:00,BAT/USD,0.63171,0.66543,0.62884,0.6595,41823.9522208994,63417.6682652
1646611200000,2022-03-07 00:00:00,BAT/USD,0.6392,0.6684,0.61613,0.63301,21683.918489874322,34255.25424539
1646524800000,2022-03-06 00:00:00,BAT/USD,0.67482,0.67904,0.63791,0.63791,14569.029196901762,22838.69071954
1646438400000,2022-03-05 00:00:00,BAT/USD,0.65652,0.67921,0.64189,0.67541,42299.590837482254,62628.01977685
1646352000000,2022-03-04 00:00:00,BAT/USD,0.7113,0.71328,0.6467,0.65765,77280.17286484216,117509.57631695
1646265600000,2022-03-03 00:00:00,BAT/USD,0.73084,0.7379,0.69259,0.71251,80430.61303453021,112883.48659602
1646179200000,2022-03-02 00:00:00,BAT/USD,0.75009,0.76582,0.72226,0.73121,45660.10923715697,62444.59079766
1646092800000,2022-03-01 00:00:00,BAT/USD,0.74118,0.76593,0.73035,0.75432,68297.36926886,90541.63918345
1646006400000,2022-02-28 00:00:00,BAT/USD,0.66809,0.74063,0.65858,0.7406,63924.53286173099,86314.51912197
1645920000000,2022-02-27 00:00:00,BAT/USD,0.70126,0.71219,0.65351,0.66858,26366.07740569247,39435.93497516
1645833600000,2022-02-26 00:00:00,BAT/USD,0.70279,0.72739,0.69414,0.70226,33922.61204553575,48304.91847113
1645747200000,2022-02-25 00:00:00,BAT/USD,0.66008,0.7103,0.65086,0.70455,36537.684200116986,51859.60428659
1645660800000,2022-02-24 00:00:00,BAT/USD,0.6534,0.67046,0.56895,0.66153,218281.5488992013,329964.70137288
1645574400000,2022-02-23 00:00:00,BAT/USD,0.68136,0.71223,0.6546,0.65541,32263.466931428255,49226.38795781
1645488000000,2022-02-22 00:00:00,BAT/USD,0.64507,0.68791,0.63209,0.68211,109324.913285147,160274.60861906
1645401600000,2022-02-21 00:00:00,BAT/USD,0.70543,0.73992,0.64388,0.6443,155135.33739794634,240781.21589003
1645315200000,2022-02-20 00:00:00,BAT/USD,0.76,0.76,0.69386,0.70202,50336.36285785727,71702.17779815
1645228800000,2022-02-19 00:00:00,BAT/USD,0.75375,0.7702,0.73251,0.76052,74702.84056665833,98226.00400602
1645142400000,2022-02-18 00:00:00,BAT/USD,0.76047,0.7895,0.74326,0.75225,171601.0983362904,228117.11310906
1645056000000,2022-02-17 00:00:00,BAT/USD,0.83841,0.84591,0.7549,0.76045,63839.81131101383,83950.04446185
1644969600000,2022-02-16 00:00:00,BAT/USD,0.86038,0.8622,0.8143,0.8354,29337.98814503914,35118.4919141
1644883200000,2022-02-15 00:00:00,BAT/USD,0.8075,0.8626,0.8075,0.86002,34647.18230563821,40286.48439064
1644796800000,2022-02-14 00:00:00,BAT/USD,0.80473,0.81462,0.77506,0.8066,16235.629080557517,20128.47642023
1644710400000,2022-02-13 00:00:00,BAT/USD,0.80953,0.82689,0.78085,0.8091,26675.321697391977,32969.12828747
1644624000000,2022-02-12 00:00:00,BAT/USD,0.8248,0.83308,0.78394,0.81054,134800.22080587203,166309.15291765
1644537600000,2022-02-11 00:00:00,BAT/USD,0.882,0.89292,0.81788,0.82594,35195.931679647954,42613.18216777
1644451200000,2022-02-10 00:00:00,BAT/USD,0.94267,0.94939,0.87908,0.88269,75786.6744177382,85858.76629138
1644364800000,2022-02-09 00:00:00,BAT/USD,0.92319,0.9545,0.90093,0.94174,33802.21518165152,35893.36247972
1644278400000,2022-02-08 00:00:00,BAT/USD,0.96964,0.9788,0.88469,0.92364,140972.12230404495,152626.69687762
1644192000000,2022-02-07 00:00:00,BAT/USD,0.94238,0.988,0.9173,0.96868,83657.98702644154,86362.87218322
1644105600000,2022-02-06 00:00:00,BAT/USD,0.92595,0.94567,0.89954,0.94237,32331.44505643361,34308.65271224
1644019200000,2022-02-05 00:00:00,BAT/USD,0.89896,0.95602,0.89016,0.92603,56830.14235409365,61369.655793109996
1643932800000,2022-02-04 00:00:00,BAT/USD,0.82458,0.90188,0.82129,0.90061,87678.94516030286,97355.06507845
1643846400000,2022-02-03 00:00:00,BAT/USD,0.8104,0.83091,0.79238,0.82613,90040.36757427201,108990.55545044
1643760000000,2022-02-02 00:00:00,BAT/USD,0.8461,0.86263,0.80616,0.81016,31087.414610052347,38371.94456657
1643673600000,2022-02-01 00:00:00,BAT/USD,0.85188,0.8594,0.83371,0.84412,50929.699630811956,60334.66761931
1643587200000,2022-01-31 00:00:00,BAT/USD,0.83607,0.85439,0.79696,0.85298,26365.93757854904,30910.38192988
1643500800000,2022-01-30 00:00:00,BAT/USD,0.85135,0.8654,0.81419,0.8349,36950.17381954747,44257.00541328
1643414400000,2022-01-29 00:00:00,BAT/USD,0.86454,0.8955,0.83667,0.85253,47239.26716208196,55410.68016619
1643328000000,2022-01-28 00:00:00,BAT/USD,0.83691,0.87726,0.81707,0.8651,73526.49612929155,84991.9039756
1643241600000,2022-01-27 00:00:00,BAT/USD,0.8047,0.8535,0.77008,0.83126,43898.85979072605,52810.02308631
1643155200000,2022-01-26 00:00:00,BAT/USD,0.79211,0.87866,0.7824,0.80931,182272.4544446144,225219.57524881
1643068800000,2022-01-25 00:00:00,BAT/USD,0.74653,0.7951,0.73117,0.79368,36485.03504888213,45969.45248574
1642982400000,2022-01-24 00:00:00,BAT/USD,0.76175,0.77432,0.65351,0.75081,129526.41145258992,172515.56512645
1642896000000,2022-01-23 00:00:00,BAT/USD,0.7183,0.76116,0.70796,0.76066,64675.77623541821,85025.86731972
1642809600000,2022-01-22 00:00:00,BAT/USD,0.80838,0.8303,0.67057,0.71914,288294.6080566309,400888.01632037
1642723200000,2022-01-21 00:00:00,BAT/USD,0.9102,0.9282,0.78241,0.80954,180950.23754540892,223522.29358081
1642636800000,2022-01-20 00:00:00,BAT/USD,0.95677,1.0084,0.90627,0.9089,50210.76948476635,55243.44755723
1642550400000,2022-01-19 00:00:00,BAT/USD,1.0054,1.0061,0.94914,0.95511,48693.48801842642,50982.07328834
1642464000000,2022-01-18 00:00:00,BAT/USD,1.0149,1.0274,0.97141,1.005,59279.935095305394,58985.01004508
1642377600000,2022-01-17 00:00:00,BAT/USD,1.0581,1.0613,0.99763,1.0138,92352.35303131717,91095.23873675
1642291200000,2022-01-16 00:00:00,BAT/USD,1.0619,1.0744,1.0424,1.0569,29197.659239372362,27625.75384556
1642204800000,2022-01-15 00:00:00,BAT/USD,1.0571,1.0836,1.04,1.0635,59468.56664268188,55917.787158139996
1642118400000,2022-01-14 00:00:00,BAT/USD,1.0343,1.0705,1.0126,1.0586,84038.68258117247,79386.6262811
1642032000000,2022-01-13 00:00:00,BAT/USD,1.1163,1.1193,1.0344,1.0372,86146.33350996216,83056.62698608
1641945600000,2022-01-12 00:00:00,BAT/USD,1.0572,1.1211,1.051,1.1153,103786.84829580922,93057.33730459
